;-ÿAcebeda-La;41.0930184542923,-3.6201388451;
131;-ÿSantorcaz;40.4716326355158,-3.2343578338;
132;-ÿSantos-de-la-Humosa-Los;40.513136433463,-3.28234886052;
133;-ÿSerna-del-Monte-La;41.0393694321045,-3.6207345453;
134;-ÿSerranillos-del-Valle;40.2062028689969,-3.9085051647;
135;-ÿSevilla-la-Nueva;40.3581069365978,-4.0428181543;
136;-ÿSomosierra;41.1397101420184,-3.5779692085;
137;-ÿSoto-del-Real;40.7513166122883,-3.7864924446;
138;-ÿTalamanca-de-Jarama;40.7435014432052,-3.4884628968;
139;-ÿTielmes;40.2358716005861,-3.3007076579;
140;-ÿTitulcia;40.1483329604696,-3.5610320412;
141;-ÿTorrejon-de-Ardoz;40.4674649068402,-3.4580456511;
142;-ÿTorrejon-de-la-Calzada;40.2036000357732,-3.7960741752;
143;-ÿTorrejon-de-Velasco;40.1780891144952,-3.7498420653;
144;-ÿTorrelaguna;40.8215768860651,-3.5425260865;
145;-ÿTorrelodones;40.5667584275129,-3.9280926630;
146;-ÿTorremocha-de-Jarama;40.8361365233414,-3.5006287302;
147;-ÿTorres-de-la-Alameda;40.421412532902,-3.37249533460;
148;-ÿTres-Cantos;40.426175,-3.685144;
149;-ÿValdaracete;40.1971865384279,-3.2025857291;
150;-ÿValdeavero;40.6281185823606,-3.3499864019;
151;-ÿValdelaguna;40.1773668893705,-3.3722542874;
152;-ÿValdemanco;40.8603849213544,-3.6632155743;
153;-ÿValdemaqueda;40.5060958319637,-4.2960145061;
154;-ÿValdemorillo;40.5064327180077,-4.0605912408;
155;-ÿValdemoro;40.1807566367294,-3.6497825250;
156;-ÿValdeolmos-Alalpardo;40.6384208139889,-3.4614825134;
157;-ÿValdepielagos;40.7574711588,-3.4639266728168;
158;-ÿValdetorres-de-Jarama;40.6933798055353,-3.5175271956;
159;-ÿValdilecha;40.2947473516736,-3.2971681257;
160;-ÿValverde-de-Alcala;40.4090604290158,-3.2998426996;
161;-ÿVelilla-de-San-Antonio;40.3651589276275,-3.4793456949;
162;-ÿVellon-El;40.7696292590263,-3.5580885376;
163;-ÿVenturada;40.7994087718803,-3.6202642481;
164;-ÿVilla-del-Prado;40.269153264963,-4.30459675038;
165;-ÿVillaconejos;40.1173113015695,-3.4901417231;
166;-ÿVillalbilla;40.449756181695,-3.34516621063;
167;-ÿVillamanrique-de-Tajo;40.0702721204141,-3.2430814105;
168;-ÿVillamanta;40.3001700345621,-4.1216204149;
169;-ÿVillamantilla;40.3411026390635,-4.1398870375;
170;-ÿVillanueva-de-la-Canada;40.4500562339441,-3.9834371415;
171;-ÿVillanueva-de-Perales;40.3745819269117,-4.0826214534;
172;-ÿVillanueva-del-Pardillo;40.4910595013115,-3.9684936386;
173;-ÿVillar-del-Olmo;40.3341448835656,-3.2368799729;
174;-ÿVillarejo-de-Salvanes;40.1184071263897,-3.2694142410;
175;-ÿVillaviciosa-de-Odon;40.3593642874759,-3.9142227172;
176;-ÿVillavieja-del-Lozoya;41.0230221203671,-3.6880669195;
177;-ÿZarzalejo;40.5449968240231,-4.1709139501;
178;;;
